"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990630_002.tif","Page","Page 2","2","ark:/21198/z1z98mdj","ark:/21198/z16n2g0v","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16n2g0v"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990630_003.tif","Page","Page 3","3","ark:/21198/z1z98mdj","ark:/21198/z12w1qcg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12w1qcg"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990630_004.tif","Page","Page 4","4","ark:/21198/z1z98mdj","ark:/21198/z1z41707","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z41707"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990701_001.tif","Page","Page 1","1","ark:/21198/z1tj7vpt","ark:/21198/z1tc0g72","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tc0g72"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990701_002.tif","Page","Page 2","2","ark:/21198/z1tj7vpt","ark:/21198/z1pk9qdf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk9qdf"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990701_003.tif","Page","Page 3","3","ark:/21198/z1tj7vpt","ark:/21198/z1jt8zmt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt8zmt"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990703_001.tif","Page","Page 1","1","ark:/21198/z1pw5td8","ark:/21198/z1f286x7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f286x7"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990703_002.tif","Page","Page 2","2","ark:/21198/z1pw5td8","ark:/21198/z19d65m7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19d65m7"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990703_003.tif","Page","Page 3","3","ark:/21198/z1pw5td8","ark:/21198/z15n5dzd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15n5dzd"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990704_001.tif","Page","Page 1","1","ark:/21198/z1k452ns","ark:/21198/z11w4p73","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11w4p73"
