File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_010.tif,Page,Page 10,22,10,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1q26tp8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26tp8,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_011.tif,Page,Page 11,23,11,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1kd4sc8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4sc8,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_012.tif,Page,Page 12,24,12,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1fn41nx,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn41nx,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_013.tif,Page,Page 13,25,13,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z19w390h,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w390h,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_014.tif,Page,Page 14,26,14,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1642j66,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642j66,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571120_001.tif,Page,Page 1,27,1,open,ark:/21198/z1c56f5x,ark:/21198/z1b59d4w,ark:/21198/z12c1shx,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1shx,1957,1957-11-20 (vol. 01 | no. 11)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571120_002.tif,Page,Page 2,28,2,open,ark:/21198/z1c56f5x,ark:/21198/z1b59d4w,ark:/21198/z1xm190k,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm190k,1957,1957-11-20 (vol. 01 | no. 11)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571120_003.tif,Page,Page 3,29,3,open,ark:/21198/z1c56f5x,ark:/21198/z1b59d4w,ark:/21198/z1sx97pm,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx97pm,1957,1957-11-20 (vol. 01 | no. 11)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571120_004.tif,Page,Page 4,30,4,open,ark:/21198/z1c56f5x,ark:/21198/z1b59d4w,ark:/21198/z1p58gz6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58gz6,1957,1957-11-20 (vol. 01 | no. 11)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571120_005.tif,Page,Page 5,31,5,open,ark:/21198/z1c56f5x,ark:/21198/z1b59d4w,ark:/21198/z1jd7r8b,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7r8b,1957,1957-11-20 (vol. 01 | no. 11)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571120_006.tif,Page,Page 6,32,6,open,ark:/21198/z1c56f5x,ark:/21198/z1b59d4w,ark:/21198/z1dn70j0,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn70j0,1957,1957-11-20 (vol. 01 | no. 11)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571120_007.tif,Page,Page 7,33,7,open,ark:/21198/z1c56f5x,ark:/21198/z1b59d4w,ark:/21198/z18w67t8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w67t8,1957,1957-11-20 (vol. 01 | no. 11)
