File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_007.tif,Page,Page 7,7,ark:/21198/z19g882r,ark:/21198/z1j41drf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41drf
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_008.tif,Page,Page 8,8,ark:/21198/z19g882r,ark:/21198/z1dc0p4g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0p4g
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_009.tif,Page,Page 9,9,ark:/21198/z19g882r,ark:/21198/z18k9xb9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9xb9
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_010.tif,Page,Page 10,10,ark:/21198/z19g882r,ark:/21198/z14t95nd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t95nd
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_011.tif,Page,Page 11,11,ark:/21198/z19g882r,ark:/21198/z1128dv3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128dv3
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_012.tif,Page,Page 12,12,ark:/21198/z19g882r,ark:/21198/z1w97xd8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97xd8
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_013.tif,Page,Page 13,13,ark:/21198/z19g882r,ark:/21198/z1rn5w2t,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5w2t
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_014.tif,Page,Page 14,14,ark:/21198/z19g882r,ark:/21198/z1mw54cx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw54cx
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_015.tif,Page,Page 15,15,ark:/21198/z19g882r,ark:/21198/z1h44cqd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44cqd
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_016.tif,Page,Page 16,16,ark:/21198/z19g882r,ark:/21198/z1cc3mz7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3mz7
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_001.tif,Page,Page 1,1,ark:/21198/z15q7h9k,ark:/21198/z17m2w6g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2w6g
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_002.tif,Page,Page 2,2,ark:/21198/z15q7h9k,ark:/21198/z13v24d7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v24d7
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_003.tif,Page,Page 3,3,ark:/21198/z15q7h9k,ark:/21198/z1031cq8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031cq8
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_004.tif,Page,Page 4,4,ark:/21198/z15q7h9k,ark:/21198/z1vd9kp6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9kp6
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_005.tif,Page,Page 5,5,ark:/21198/z15q7h9k,ark:/21198/z1qn8v1s,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn8v1s
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_006.tif,Page,Page 6,6,ark:/21198/z15q7h9k,ark:/21198/z1kw839f,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw839f
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_007.tif,Page,Page 7,7,ark:/21198/z15q7h9k,ark:/21198/z1g47bk1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47bk1
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_008.tif,Page,Page 8,8,ark:/21198/z15q7h9k,ark:/21198/z1bc6ksd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6ksd
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_009.tif,Page,Page 9,9,ark:/21198/z15q7h9k,ark:/21198/z16m5v1n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5v1n
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_010.tif,Page,Page 10,10,ark:/21198/z15q7h9k,ark:/21198/z12v53br,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v53br
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_011.tif,Page,Page 11,11,ark:/21198/z15q7h9k,ark:/21198/z1z6397n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z6397n
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_012.tif,Page,Page 12,12,ark:/21198/z15q7h9k,ark:/21198/z1tf2jkt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2jkt
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_013.tif,Page,Page 13,13,ark:/21198/z15q7h9k,ark:/21198/z1pp1sx0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1sx0
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_014.tif,Page,Page 14,14,ark:/21198/z15q7h9k,ark:/21198/z1jx125m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx125m
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600929_015.tif,Page,Page 15,15,ark:/21198/z15q7h9k,ark:/21198/z1f509dr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f509dr
