File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2,media.height,media.width
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_007.tif,Page,Page 7,22,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z12z3scr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3scr,1958,1958-05-26,2026,1339
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_008.tif,Page,Page 8,23,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1z9209g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z9209g,1958,1958-05-26,2005,1358
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_009.tif,Page,Page 9,24,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1tj17j9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj17j9,1958,1958-05-26,1319,2057
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_010.tif,Page,Page 10,25,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1ps0gs4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0gs4,1958,1958-05-26,1360,2046
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_011.tif,Page,Page 11,26,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1k09r4g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09r4g,1958,1958-05-26,1379,2086
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_012.tif,Page,Page 12,27,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1f790d4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f790d4,1958,1958-05-26,1379,2104
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_013.tif,Page,Page 13,28,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z19g87pd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g87pd,1958,1958-05-26,1379,2083
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_014.tif,Page,Page 14,29,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z15q7gzp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7gzp,1958,1958-05-26,1395,1063
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_001.tif,Page,Page 1,30,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1225fmj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225fmj,1958,1958-06-02,1347,1047
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_002.tif,Page,Page 2,31,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1x94z5q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x94z5q,1958,1958-06-02,1358,2012
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_003.tif,Page,Page 3,32,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1sj46dx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj46dx,1958,1958-06-02,1339,2034
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_004.tif,Page,Page 4,33,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1ns3fr3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns3fr3,1958,1958-06-02,1363,2055
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_005.tif,Page,Page 5,34,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1j12q13,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12q13,1958,1958-06-02,1342,2075
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_006.tif,Page,Page 6,35,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z18h16k1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h16k1,1958,1958-06-02,1360,2034
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_007.tif,Page,Page 7,36,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1w97x0w,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97x0w,1958,1958-06-02,1335,2012
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_008.tif,Page,Page 8,37,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1ms6dmq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6dmq,1958,1958-06-02,1360,2012
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_009.tif,Page,Page 9,38,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1h15nvv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15nvv,1958,1958-06-02,1376,2052
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_010.tif,Page,Page 10,39,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z17m2vt4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2vt4,1958,1958-06-02,1370,2046
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_011.tif,Page,Page 11,40,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1031cbb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031cbb,1958,1958-06-02,1386,2067
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_012.tif,Page,Page 12,41,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1tb3ts5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3ts5,1958,1958-06-02,1358,2065
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_013.tif,Page,Page 13,42,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1pk3327,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk3327,1958,1958-06-02,1358,2065
