File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910404_003.tif,Page,Page 3,27,3,ark:/21198/z1dn67nv,ark:/21198/z17w8fr9,ark:/21198/z16t2q7m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2q7m,1891,"1891-04-04 (año 02, número 14)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910404_004.tif,Page,Page 4,28,4,ark:/21198/z1dn67nv,ark:/21198/z17w8fr9,ark:/21198/z1321zgr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321zgr,1891,"1891-04-04 (año 02, número 14)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910411_001.tif,Page,Page 1,29,1,ark:/21198/z1dn67nv,ark:/21198/z1476dhh,ark:/21198/z1z91g0v,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z91g0v,1891,"1891-04-11 (año 02, número 15)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910411_002.tif,Page,Page 2,30,2,ark:/21198/z1dn67nv,ark:/21198/z1476dhh,ark:/21198/z1tj0q7p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj0q7p,1891,"1891-04-11 (año 02, número 15)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910411_003.tif,Page,Page 3,31,3,ark:/21198/z1dn67nv,ark:/21198/z1476dhh,ark:/21198/z1pv8nz5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8nz5,1891,"1891-04-11 (año 02, número 15)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910411_004.tif,Page,Page 4,32,4,ark:/21198/z1dn67nv,ark:/21198/z1476dhh,ark:/21198/z1k37x6q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37x6q,1891,"1891-04-11 (año 02, número 15)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910418_001.tif,Page,Page 1,33,1,ark:/21198/z1dn67nv,ark:/21198/z10g5nrb,ark:/21198/z1fb75ht,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb75ht,1891,"1891-04-18 (año 02, número 16)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910418_002.tif,Page,Page 2,34,2,ark:/21198/z1dn67nv,ark:/21198/z10g5nrb,ark:/21198/z19k6dtj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k6dtj,1891,"1891-04-18 (año 02, número 16)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910418_003.tif,Page,Page 3,35,3,ark:/21198/z1dn67nv,ark:/21198/z10g5nrb,ark:/21198/z15t5p37,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5p37,1891,"1891-04-18 (año 02, número 16)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910418_004.tif,Page,Page 4,36,4,ark:/21198/z1dn67nv,ark:/21198/z10g5nrb,ark:/21198/z1224xct,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224xct,1891,"1891-04-18 (año 02, número 16)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910425_001.tif,Page,Page 1,37,1,ark:/21198/z1dn67nv,ark:/21198/z1vq5570,ark:/21198/z1xd348s,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd348s,1891,"1891-04-25 (año 02, número 17)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910425_002.tif,Page,Page 2,38,2,ark:/21198/z1dn67nv,ark:/21198/z1vq5570,ark:/21198/z1sn2cj2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2cj2,1891,"1891-04-25 (año 02, número 17)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910425_003.tif,Page,Page 3,39,3,ark:/21198/z1dn67nv,ark:/21198/z1vq5570,ark:/21198/z1nw1mtb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1mtb,1891,"1891-04-25 (año 02, número 17)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910425_004.tif,Page,Page 4,40,4,ark:/21198/z1dn67nv,ark:/21198/z1vq5570,ark:/21198/z1j40w4s,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40w4s,1891,"1891-04-25 (año 02, número 17)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910429_001.tif,Page,Page 1,41,1,ark:/21198/z1dn67nv,ark:/21198/z1qz4djq,ark:/21198/z1dc04gb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc04gb,1891,1891-04-29 (Suplemento Extraordinario)
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910502_001.tif,Page,Page 1,42,1,ark:/21198/z1dn67nv,ark:/21198/z1m63nw6,ark:/21198/z18k9cp5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9cp5,1891,"1891-05-02 (año 02, número 18)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910502_002.tif,Page,Page 2,43,2,ark:/21198/z1dn67nv,ark:/21198/z1m63nw6,ark:/21198/z14t8n09,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8n09,1891,"1891-05-02 (año 02, número 18)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910502_003.tif,Page,Page 3,44,3,ark:/21198/z1dn67nv,ark:/21198/z1m63nw6,ark:/21198/z1156knr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156knr,1891,"1891-05-02 (año 02, número 18)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910502_004.tif,Page,Page 4,45,4,ark:/21198/z1dn67nv,ark:/21198/z1m63nw6,ark:/21198/z1wd634d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd634d,1891,"1891-05-02 (año 02, número 18)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910509_001.tif,Page,Page 1,46,1,ark:/21198/z1dn67nv,ark:/21198/z1gf2x30,ark:/21198/z1rn5bdp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5bdp,1891,"1891-05-09 (año 02, número 19)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910509_002.tif,Page,Page 2,47,2,ark:/21198/z1dn67nv,ark:/21198/z1gf2x30,ark:/21198/z1mw4kqd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4kqd,1891,"1891-05-09 (año 02, número 19)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910509_003.tif,Page,Page 3,48,3,ark:/21198/z1dn67nv,ark:/21198/z1gf2x30,ark:/21198/z1h43v29,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43v29,1891,"1891-05-09 (año 02, número 19)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910509_004.tif,Page,Page 4,49,4,ark:/21198/z1dn67nv,ark:/21198/z1gf2x30,ark:/21198/z1cc339h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc339h,1891,"1891-05-09 (año 02, número 19)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910516_001.tif,Page,Page 1,50,1,ark:/21198/z1dn67nv,ark:/21198/z1bp25cn,ark:/21198/z17m2bjb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2bjb,1891,"1891-05-16 (año 02, número 20)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910516_002.tif,Page,Page 2,51,2,ark:/21198/z1dn67nv,ark:/21198/z1bp25cn,ark:/21198/z13z098s,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z098s,1891,"1891-05-16 (año 02, número 20)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910516_003.tif,Page,Page 3,52,3,ark:/21198/z1dn67nv,ark:/21198/z1bp25cn,ark:/21198/z1059jjt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059jjt,1891,"1891-05-16 (año 02, número 20)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910516_004.tif,Page,Page 4,53,4,ark:/21198/z1dn67nv,ark:/21198/z1bp25cn,ark:/21198/z1vd921g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd921g,1891,"1891-05-16 (año 02, número 20)"
