File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_012.tif,Page,Page 12,46,12,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1zd0xct,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0xct,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_013.tif,Page,Page 13,47,13,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1tn05m1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn05m1,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_014.tif,Page,Page 14,48,14,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1pv9dv9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv9dv9,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_015.tif,Page,Page 15,49,15,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1k38p49,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38p49,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580701_001.tif,Page,Page 1,50,1,open,ark:/21198/z1md1thn,ark:/21198/z1fr2r45,ark:/21198/z1ff6mvb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6mvb,1958,1958-07-01
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580701_002.tif,Page,Page 2,51,2,open,ark:/21198/z1md1thn,ark:/21198/z1fr2r45,ark:/21198/z19p5w41,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5w41,1958,1958-07-01
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580701_003.tif,Page,Page 3,52,3,open,ark:/21198/z1md1thn,ark:/21198/z1fr2r45,ark:/21198/z15x54dp,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x54dp,1958,1958-07-01
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580701_004.tif,Page,Page 4,53,4,open,ark:/21198/z1md1thn,ark:/21198/z1fr2r45,ark:/21198/z1254cqq,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1254cqq,1958,1958-07-01
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_001.tif,Page,Page 1,54,1,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1xd3w5j,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3w5j,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_002.tif,Page,Page 2,55,2,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1sn34h3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn34h3,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_003.tif,Page,Page 3,56,3,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1nw2crx,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw2crx,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_004.tif,Page,Page 4,57,4,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1j70bds,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j70bds,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_005.tif,Page,Page 5,58,5,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1df9kph,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9kph,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_006.tif,Page,Page 6,59,6,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z18p8v0n,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8v0n,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_007.tif,Page,Page 7,60,7,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z14x8389,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x8389,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_008.tif,Page,Page 8,61,8,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1157bjw,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1157bjw,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_009.tif,Page,Page 9,62,9,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1wd6v2m,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6v2m,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_010.tif,Page,Page 10,63,10,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1rn63cq,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn63cq,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_011.tif,Page,Page 11,64,11,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1n0421k,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n0421k,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_012.tif,Page,Page 12,65,12,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1h7398d,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h7398d,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_013.tif,Page,Page 13,66,13,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1cg2jk4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2jk4,1958,1958-10-06
