File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820919_001.tif,Page,Page 1,27,1,ark:/21198/z15b2qw0,ark:/21198/z13b8nm7,ark:/21198/z17h470n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h470n,1882-09-19
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820919_002.tif,Page,Page 2,28,2,ark:/21198/z15b2qw0,ark:/21198/z13b8nm7,ark:/21198/z13r3g9c,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3g9c,1882-09-19
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820920_001.tif,Page,Page 1,29,1,ark:/21198/z15b2qw0,ark:/21198/z1zk854b,ark:/21198/z1002qkz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002qkz,1882-09-20
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820920_002.tif,Page,Page 2,30,2,ark:/21198/z15b2qw0,ark:/21198/z1zk854b,ark:/21198/z1v7272m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v7272m,1882-09-20
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820921_001.tif,Page,Page 1,31,1,ark:/21198/z15b2qw0,ark:/21198/z1tt7dbq,ark:/21198/z1qg1gbw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg1gbw,1882-09-21
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820921_002.tif,Page,Page 2,32,2,ark:/21198/z15b2qw0,ark:/21198/z1tt7dbq,ark:/21198/z1kq0qkq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0qkq,1882-09-21
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820922_001.tif,Page,Page 1,33,1,ark:/21198/z15b2qw0,ark:/21198/z1q26nnr,ark:/21198/z1g18p8g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18p8g,1882-09-22
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820922_002.tif,Page,Page 2,34,2,ark:/21198/z15b2qw0,ark:/21198/z1q26nnr,ark:/21198/z1b87xk6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87xk6,1882-09-22
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820923_001.tif,Page,Page 1,35,1,ark:/21198/z15b2qw0,ark:/21198/z1kd4m99,ark:/21198/z16h75w9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h75w9,1882-09-23
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820923_002.tif,Page,Page 2,36,2,ark:/21198/z15b2qw0,ark:/21198/z1kd4m99,ark:/21198/z12r6f50,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6f50,1882-09-23
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820925_001.tif,Page,Page 1,37,1,ark:/21198/z15b2qw0,ark:/21198/z1fn3vm1,ark:/21198/z1z05xmq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05xmq,1882-09-25
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820925_002.tif,Page,Page 2,38,2,ark:/21198/z15b2qw0,ark:/21198/z1fn3vm1,ark:/21198/z1t755wc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t755wc,1882-09-25
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820926_001.tif,Page,Page 1,39,1,ark:/21198/z15b2qw0,ark:/21198/z19w33zk,ark:/21198/z1pg4f4m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg4f4m,1882-09-26
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820926_002.tif,Page,Page 2,40,2,ark:/21198/z15b2qw0,ark:/21198/z19w33zk,ark:/21198/z1jt2cvn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2cvn,1882-09-26
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820927_001.tif,Page,Page 1,41,1,ark:/21198/z15b2qw0,ark:/21198/z1642c5p,ark:/21198/z1f21n4n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21n4n,1882-09-27
