File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_004.tif,Page,Page 4,122,4,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z1vm72md,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm72md,1935-02-06 (año 01 | num. 15)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_005.tif,Page,Page 5,123,5,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z1qz517h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz517h,1935-02-06 (año 01 | num. 15)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_006.tif,Page,Page 6,124,6,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z1m648mf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m648mf,1935-02-06 (año 01 | num. 15)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_007.tif,Page,Page 7,125,7,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z1gf3hv8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3hv8,1935-02-06 (año 01 | num. 15)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_008.tif,Page,Page 8,126,8,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z1bp2s5d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2s5d,1935-02-06 (año 01 | num. 15)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_001.tif,Page,Page 1,127,1,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z16x21c5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x21c5,1935-02-07 (año 01 | num. 16)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_002.tif,Page,Page 2,128,2,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z13518nr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13518nr,1935-02-07 (año 01 | num. 16)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_003.tif,Page,Page 3,129,3,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z1zd0s7c,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0s7c,1935-02-07 (año 01 | num. 16)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_004.tif,Page,Page 4,130,4,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z1tq8qvh,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8qvh,1935-02-07 (año 01 | num. 16)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_005.tif,Page,Page 5,131,5,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z1pz8051,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz8051,1935-02-07 (año 01 | num. 16)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_006.tif,Page,Page 6,132,6,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z1k677fm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k677fm,1935-02-07 (año 01 | num. 16)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_007.tif,Page,Page 7,133,7,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z1ff6gpf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6gpf,1935-02-07 (año 01 | num. 16)
