File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_001.tif,Page,Page 1,53,1,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1tx5j1m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5j1m,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_002.tif,Page,Page 2,54,2,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1q54s79,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54s79,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_003.tif,Page,Page 3,55,3,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1kh2qxw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2qxw,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_004.tif,Page,Page 4,56,4,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1fr206z,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr206z,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_005.tif,Page,Page 5,57,5,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1b017f3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b017f3,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_006.tif,Page,Page 6,58,6,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1670gs8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1670gs8,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_007.tif,Page,Page 7,59,7,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z12f9r2d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9r2d,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_008.tif,Page,Page 8,60,8,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1xp97k3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp97k3,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_009.tif,Page,Page 9,61,9,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1sx8gtx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8gtx,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_010.tif,Page,Page 10,62,10,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1p86fh7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p86fh7,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_011.tif,Page,Page 11,63,11,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1jh5pr2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5pr2,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_012.tif,Page,Page 12,64,12,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1dr4z26,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4z26,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_013.tif,Page,Page 13,65,13,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z19046cm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19046cm,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_014.tif,Page,Page 14,66,14,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1573fnw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1573fnw,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_015.tif,Page,Page 15,67,15,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z11g2pwq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2pwq,1942,1942-07/1942-08 (año 01 | num. 02)
